Computer name	Policy compliance	Up to date	Alerts and errors	On-access	Firewall enabled	Application control on-access	Data control scanning	Device control scanning	Tamper protection	Patch assessment	Web control status	Group	
SUI-DPRT1	Same as policy	Yes		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Servers	
SUI-DFSV1	Same as policy	Yes		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Servers	
SUI-DDBSVR1	Same as policy	Yes		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Servers	
SUI-DADC1	Same as policy	Yes		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Servers	
SUI-CSTECHASST1	Same as policy	Yes	Error	Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Workstations	
SUI-CSLTD810	Awaiting policy transfer	Unknown		Active		Inactive	Inactive	Inactive	Inactive		Inactive	\Workgroup-SUI\Workstations	
SUI-CSLAP02	Same as policy	Not since 9/11/2015 5:20:11 PM		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Workstations	
SUI-CSLAP01	Same as policy	Not since 5/29/2015 1:59:12 PM		Active				Inactive	Inactive			\Workgroup-SUI\Workstations	
SUI-CSEEEPC	Awaiting policy transfer	Not since 4/26/2015 12:02:28 AM		Active		Inactive	Inactive	Inactive	Inactive		Inactive	\Workgroup-SUI\Workstations	
SUI-CSDEV3	Same as policy	Not since 9/14/2015 7:00:23 PM		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Workstations	
SUI-CSDEV	Same as policy	Not since 9/1/2015 4:49:52 PM		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Workstations	
SUI-COMPVIEW	Same as policy	Not since 9/16/2015 4:40:20 PM		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Workstations	
SUI-CLBSPRTCRD	Same as policy	Yes		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI	
SUI-BOXOFTABW8	Awaiting policy transfer	Not since 7/1/2015 11:21:35 AM		Active		Inactive	Inactive	Inactive	Inactive		Inactive	\Workgroup-SUI\Workstations	
SUI-BOXOFFCEMGR	Awaiting policy transfer	Not since 8/3/2015 12:55:22 PM		Active		Inactive	Inactive	Inactive	Inactive		Inactive	\Workgroup-SUI\Workstations	
SUI-BK2	Differs from policy	Yes		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Servers	
SUI-AVTECHCORD2	Awaiting policy transfer	Yes		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI	
SUI-ASFOURWIND	Awaiting policy transfer	Not since 12/19/2014 7:18:00 PM		Active		Inactive	Inactive	Inactive	Inactive		Inactive	\Workgroup-SUI\Workstations	
SUI-APPSV	Same as policy	Yes		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Workstations	
SUHRMGR1-PC	Same as policy	Not since 9/14/2015 7:00:23 PM		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Workstations	
SUHR3-PC	Same as policy	Not since 9/16/2015 4:40:20 PM		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Workstations	
SUHR2A-PC	Same as policy	Not since 9/16/2015 4:40:20 PM		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Workstations	
SUGRAPHICS2-PC	Awaiting policy transfer	Yes		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Workstations	
SUEVNTSUP-PC	Same as policy	Yes		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Workstations	
SUEVNTFD-PC	Same as policy	Not since 9/16/2015 4:40:20 PM		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Workstations	
SUEVNTCRDS-PC	Same as policy	Yes		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Workstations	
SUBC-PC	Same as policy	Not since 9/16/2015 4:40:20 PM		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Workstations	
suadmin_clp												\Workgroup-SUI\Workstations	
SPENTRY4-PC	Awaiting policy from console	Unknown		Active		Inactive	Inactive	Inactive	Inactive		Inactive	\Workgroup-SUI\Workstations	
SPENTRY2-PC	Awaiting policy transfer	Not since 9/4/2015 6:09:48 PM		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Workstations	
SPENTRY1-PC	Same as policy	Not since 9/4/2015 6:09:48 PM		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI	
EXADMIN-PC	Same as policy	Not since 9/16/2015 4:40:20 PM		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Workstations	
ECSCASMGR-PC	Same as policy	Not since 9/16/2015 4:40:20 PM		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Workstations	
ECRECMGR-PC	Same as policy	Yes		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Workstations	
ECMAINT-PC	Same as policy	Not since 9/16/2015 4:40:20 PM		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Workstations	
ECEVENTMGRS-PC	Awaiting policy transfer	Not since 9/16/2015 4:40:20 PM		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Workstations	
